code,description
O3693X4,"maternal care for fetal problem, unspecified, third trimester, fetus 4"
O3693X5,"maternal care for fetal problem, unspecified, third trimester, fetus 5"
O3693X9,"maternal care for fetal problem, unspecified, third trimester, other fetus"
O401XX0,"polyhydramnios, first trimester, not applicable or unspecified"
O402XX0,"polyhydramnios, second trimester, not applicable or unspecified"
O403XX0,"polyhydramnios, third trimester, not applicable or unspecified"
O409XX0,"polyhydramnios, unspecified trimester, not applicable or unspecified"
O409XX1,"polyhydramnios, unspecified trimester, fetus 1"
O409XX2,"polyhydramnios, unspecified trimester, fetus 2"
O409XX3,"polyhydramnios, unspecified trimester, fetus 3"
O409XX4,"polyhydramnios, unspecified trimester, fetus 4"
O409XX5,"polyhydramnios, unspecified trimester, fetus 5"
O409XX9,"polyhydramnios, unspecified trimester, other fetus"
O4100X0,"oligohydramnios, unspecified trimester, not applicable or unspecified"
O4100X1,"oligohydramnios, unspecified trimester, fetus 1"
O4100X2,"oligohydramnios, unspecified trimester, fetus 2"
O4100X3,"oligohydramnios, unspecified trimester, fetus 3"
O4100X4,"oligohydramnios, unspecified trimester, fetus 4"
O4100X5,"oligohydramnios, unspecified trimester, fetus 5"
O4100X9,"oligohydramnios, unspecified trimester, other fetus"
O4101X0,"oligohydramnios, first trimester, not applicable or unspecified"
O4102X0,"oligohydramnios, second trimester, not applicable or unspecified"
O4103X0,"oligohydramnios, third trimester, not applicable or unspecified"
O411010,"infection of amniotic sac and membranes, unspecified, first trimester, not applicable or unspecified"
O411011,"infection of amniotic sac and membranes, unspecified, first trimester, fetus 1"
O411012,"infection of amniotic sac and membranes, unspecified, first trimester, fetus 2"
O411013,"infection of amniotic sac and membranes, unspecified, first trimester, fetus 3"
O411014,"infection of amniotic sac and membranes, unspecified, first trimester, fetus 4"
O411015,"infection of amniotic sac and membranes, unspecified, first trimester, fetus 5"
O411019,"infection of amniotic sac and membranes, unspecified, first trimester, other fetus"
O411020,"infection of amniotic sac and membranes, unspecified, second trimester, not applicable or unspecified"
O411021,"infection of amniotic sac and membranes, unspecified, second trimester, fetus 1"
O411022,"infection of amniotic sac and membranes, unspecified, second trimester, fetus 2"
O411023,"infection of amniotic sac and membranes, unspecified, second trimester, fetus 3"
O411024,"infection of amniotic sac and membranes, unspecified, second trimester, fetus 4"
O411025,"infection of amniotic sac and membranes, unspecified, second trimester, fetus 5"
O411029,"infection of amniotic sac and membranes, unspecified, second trimester, other fetus"
O411030,"infection of amniotic sac and membranes, unspecified, third trimester, not applicable or unspecified"
O411031,"infection of amniotic sac and membranes, unspecified, third trimester, fetus 1"
O411032,"infection of amniotic sac and membranes, unspecified, third trimester, fetus 2"
O411033,"infection of amniotic sac and membranes, unspecified, third trimester, fetus 3"
O411034,"infection of amniotic sac and membranes, unspecified, third trimester, fetus 4"
O411035,"infection of amniotic sac and membranes, unspecified, third trimester, fetus 5"
O411039,"infection of amniotic sac and membranes, unspecified, third trimester, other fetus"
O411090,"infection of amniotic sac and membranes, unspecified, unspecified trimester, not applicable or unspecified"
O411091,"infection of amniotic sac and membranes, unspecified, unspecified trimester, fetus 1"
O411092,"infection of amniotic sac and membranes, unspecified, unspecified trimester, fetus 2"
O411093,"infection of amniotic sac and membranes, unspecified, unspecified trimester, fetus 3"
O411094,"infection of amniotic sac and membranes, unspecified, unspecified trimester, fetus 4"
O411095,"infection of amniotic sac and membranes, unspecified, unspecified trimester, fetus 5"
O411099,"infection of amniotic sac and membranes, unspecified, unspecified trimester, other fetus"
O411210,"chorioamnionitis, first trimester, not applicable or unspecified"
O411220,"chorioamnionitis, second trimester, not applicable or unspecified"
O411230,"chorioamnionitis, third trimester, not applicable or unspecified"
O411290,"chorioamnionitis, unspecified trimester, not applicable or unspecified"
O411291,"chorioamnionitis, unspecified trimester, fetus 1"
O411292,"chorioamnionitis, unspecified trimester, fetus 2"
O411293,"chorioamnionitis, unspecified trimester, fetus 3"
O411294,"chorioamnionitis, unspecified trimester, fetus 4"
O411295,"chorioamnionitis, unspecified trimester, fetus 5"
O411299,"chorioamnionitis, unspecified trimester, other fetus"
O411410,"placentitis, first trimester, not applicable or unspecified"
O411420,"placentitis, second trimester, not applicable or unspecified"
O411430,"placentitis, third trimester, not applicable or unspecified"
O411490,"placentitis, unspecified trimester, not applicable or unspecified"
O411491,"placentitis, unspecified trimester, fetus 1"
O411492,"placentitis, unspecified trimester, fetus 2"
O411493,"placentitis, unspecified trimester, fetus 3"
O411494,"placentitis, unspecified trimester, fetus 4"
O411495,"placentitis, unspecified trimester, fetus 5"
O411499,"placentitis, unspecified trimester, other fetus"
O418X10,"other specified disorders of amniotic fluid and membranes, first trimester, not applicable or unspecified"
O418X20,"other specified disorders of amniotic fluid and membranes, second trimester, not applicable or unspecified"
O418X30,"other specified disorders of amniotic fluid and membranes, third trimester, not applicable or unspecified"
O418X90,"other specified disorders of amniotic fluid and membranes, unspecified trimester, not applicable or unspecified"
O418X91,"other specified disorders of amniotic fluid and membranes, unspecified trimester, fetus 1"
O418X92,"other specified disorders of amniotic fluid and membranes, unspecified trimester, fetus 2"
O418X93,"other specified disorders of amniotic fluid and membranes, unspecified trimester, fetus 3"
O418X94,"other specified disorders of amniotic fluid and membranes, unspecified trimester, fetus 4"
O418X95,"other specified disorders of amniotic fluid and membranes, unspecified trimester, fetus 5"
O418X99,"other specified disorders of amniotic fluid and membranes, unspecified trimester, other fetus"
O4190X0,"disorder of amniotic fluid and membranes, unspecified, unspecified trimester, not applicable or unspecified"
O4190X1,"disorder of amniotic fluid and membranes, unspecified, unspecified trimester, fetus 1"
O4190X2,"disorder of amniotic fluid and membranes, unspecified, unspecified trimester, fetus 2"
O4190X3,"disorder of amniotic fluid and membranes, unspecified, unspecified trimester, fetus 3"
O4190X4,"disorder of amniotic fluid and membranes, unspecified, unspecified trimester, fetus 4"
O4190X5,"disorder of amniotic fluid and membranes, unspecified, unspecified trimester, fetus 5"
O4190X9,"disorder of amniotic fluid and membranes, unspecified, unspecified trimester, other fetus"
O4191X0,"disorder of amniotic fluid and membranes, unspecified, first trimester, not applicable or unspecified"
O4191X1,"disorder of amniotic fluid and membranes, unspecified, first trimester, fetus 1"
O4191X2,"disorder of amniotic fluid and membranes, unspecified, first trimester, fetus 2"
O4191X3,"disorder of amniotic fluid and membranes, unspecified, first trimester, fetus 3"
O4191X4,"disorder of amniotic fluid and membranes, unspecified, first trimester, fetus 4"
O4191X5,"disorder of amniotic fluid and membranes, unspecified, first trimester, fetus 5"
O4191X9,"disorder of amniotic fluid and membranes, unspecified, first trimester, other fetus"
O4192X0,"disorder of amniotic fluid and membranes, unspecified, second trimester, not applicable or unspecified"
O4192X1,"disorder of amniotic fluid and membranes, unspecified, second trimester, fetus 1"
O4192X2,"disorder of amniotic fluid and membranes, unspecified, second trimester, fetus 2"
O4192X3,"disorder of amniotic fluid and membranes, unspecified, second trimester, fetus 3"
O4192X4,"disorder of amniotic fluid and membranes, unspecified, second trimester, fetus 4"
O4192X5,"disorder of amniotic fluid and membranes, unspecified, second trimester, fetus 5"
O4192X9,"disorder of amniotic fluid and membranes, unspecified, second trimester, other fetus"
O4193X0,"disorder of amniotic fluid and membranes, unspecified, third trimester, not applicable or unspecified"
O4193X1,"disorder of amniotic fluid and membranes, unspecified, third trimester, fetus 1"
O4193X2,"disorder of amniotic fluid and membranes, unspecified, third trimester, fetus 2"
O4193X3,"disorder of amniotic fluid and membranes, unspecified, third trimester, fetus 3"
O4193X4,"disorder of amniotic fluid and membranes, unspecified, third trimester, fetus 4"
O4193X5,"disorder of amniotic fluid and membranes, unspecified, third trimester, fetus 5"
O4193X9,"disorder of amniotic fluid and membranes, unspecified, third trimester, other fetus"
O4210,"premature rupture of membranes, onset of labor more than 24 hours following rupture, unspecified weeks of gestation"
O42119,"preterm premature rupture of membranes, onset of labor more than 24 hours following rupture, unspecified trimester"
O4290,"premature rupture of membranes, unspecified as to length of time between rupture and onset of labor, unspecified weeks of gestation"
O42911,"preterm premature rupture of membranes, unspecified as to length of time between rupture and onset of labor, first trimester"
O42912,"preterm premature rupture of membranes, unspecified as to length of time between rupture and onset of labor, second trimester"
